Name,Planet,Murds,GigaHz,Color,Ratio,Action,ColorC
!,?,7.3,!,Light Gray,2.1,?,22
!,?,6.6,1065,White,2.1,?,0
Lil!,?,6.7,1045,White,!,?,0
!,?,!,1065,Light Color,!,?,11
Pl!ik,?,7,1006.3,Dark Color,!,?,-11
!,?,7.3,951.4,Green ,1.9,?,19
Krotork,?,7,1001.8,Light Gray,1,?,22
Woshif,?,!,971.7,Blue,1.7,?,3
Kistop,?,7.2,!,Dark Gray,2.9,?,-22
c06!,?,6.7,!,Orange,!,?,13
!,?,!,!,Black,2.6,?,-1
G!rk,?,6.9,>1000,Black or Dark Blue,3.2,?,
!9e!,?,6.6,!,Light Blue,1.2,?,33
!6!,?,6.6,!,Orange,!,?,13
Rash!,?,!,955.8,Light Blue,!,?,33
Sor!,?,7.4,<1000,!,!,?,
A!,?,6.8,1013.3,Light Color,1,?,11
E4511,?,!,!,!,!,?,
!,?,!,>1000,Light Color,1.7,?,11
Mor!,?,6.4,1055,!,!,?,
