Name,Planet,Murds,GigaHz,Color,Ratio,Action,ColorC,NameC
Grotz,Klingon,6.9,1006.4,Black ,3.5,Hostile,-1,    [-1    -1     1    -1    -1]
Tlarr,Klingon,7,994.3,Black ,2.3,Hostile,-1,    [-1    -1     1    -1    -1]
Tribok,Klingon,7.3,978.1,Dark Gray,2.8,Hostile,-22,    [-1    -1     1    -1     1    -1]
Brogut,Klingon,7.1,1005.4,Dark Gray,3,Hostile,-22,    [-1    -1     1    -1     1    -1]
Glorek,Klingon,7.1,1001.8,Light Gray,1,Hostile,22,    [-1    -1     1    -1     1    -1]
Lorif,Romulan,7.3,980.4,Dark Blue,1.6,Alert,-33,    [-1     1    -1     1    -1]
Rallev,Romulan,7.4,977.2,Dark Green,1.8,Alert,-19,    [-1     1    -1    -1     1    -1]
Willosh,Romulan,7.3,947.9,Light Gray ,1.9,Alert,22,    [-1     1    -1    -1     1    -1    -1]
Loshar,Romulan,7.2,955.8,Light Blue,2.1,Alert,33,    [-1     1    -1    -1     1    -1]
Sarash,Romulan,7.4,960.7,Light Gray ,2.3,Alert,22,    [-1     1    -1     1    -1    -1]
A2231,Antarean,6.7,1010.9,Pink ,1.2,Friendly,17,    [ 1     0     0     0     0]
E7763,Antarean,6.8,1033.2,Orange,1.2,Friendly,13,    [ 1     0     0     0     0]
E9091,Antarean,6.5,1025.4,Light Blue,1.1,Friendly,33,    [ 1     0     0     0     0]
A0199,Antarean,6.8,1066.2,Yellow,1.3,Friendly,23,    [ 1     0     0     0     0]
A1091,Antarean,6.7,1015,Light Blue,1,Friendly,33,    [ 1     0     0     0     0]
Daisy,Federation,6.7,1050,White ,1.9,Friendly,0,    [-1     1     1    -1    -1]
Rosehip,Federation,6.8,1055,Light Gray,2,Friendly,22,    [-1     1    -1     1    -1     1    -1]
Gardenia,Federation,6.5,1045,White ,2.1,Friendly,0,    [-1     1    -1    -1     1    -1     1     1]
Herb,Federation,6.4,1065,Light Gray,2.6,Friendly,22,    [-1     1    -1    -1]
Cinnamon,Federation,6.5,1055,Light Gray,1.7,Friendly,22,    [-1     1    -1    -1     1    -1     1    -1]
